GEO_ID,NAME,B08303_001E,B08303_002E,B08303_003E
51001,Accomack County,13248,4198,32
51003,Albemarle County,45643,12682,28
51005,Alleghany County,6120,1817,30
51007,Amelia County,5783,805,14
51009,Amherst County,13753,2905,21
51011,Appomattox County,6947,1671,24
51013,Arlington County,116672,17345,15
51015,Augusta County,34300,8076,24
51017,Bath County,1750,741,42
51019,Bedford County,33940,6723,20
51021,Bland County,2204,902,41
51023,Botetourt County,14632,2682,18
51025,Brunswick County,5893,1171,20
51027,Buchanan County,5990,1457,24
51029,Buckingham County,5886,831,14
51031,Campbell County,24332,5775,24
51033,Caroline County,14486,3401,23
51035,Carroll County,11790,3282,28
51036,Charles City County,3042,327,11
51037,Charlotte County,4291,1208,28
51041,Chesterfield County,160905,26670,17
51043,Clarke County,6381,1116,17
51045,Craig County,1855,203,11
51047,Culpeper County,23820,6416,27
51049,Cumberland County,4586,1091,24
51051,Dickenson County,4161,1254,30
51053,Dinwiddie County,12253,2152,18
51057,Essex County,4058,1007,25
51059,Fairfax County,503905,74478,15
51061,Fauquier County,32012,5780,18
51063,Floyd County,6822,1497,22
51065,Fluvanna County,11398,1479,13
51067,Franklin County,21065,3996,19
51069,Frederick County,39981,7338,18
51071,Giles County,7411,2071,28
51073,Gloucester County,17512,3309,19
51075,Goochland County,9552,1482,16
51077,Grayson County,5787,1607,28
51079,Greene County,9141,1366,15
51081,Greensville County,3418,1239,36
51083,Halifax County,12678,3927,31
51085,Hanover County,49831,9473,19
51087,Henrico County,146361,37298,25
51089,Henry County,18898,4375,23
51091,Highland County,689,280,41
51093,Isle of Wight County,17009,3067,18
51095,James City County,30698,8584,28
51097,King and Queen County,3106,541,17
51099,King George County,12391,3028,24
51101,King William County,8303,1111,13
51103,Lancaster County,3460,1415,41
51105,Lee County,6389,1621,25
51107,Loudoun County,178445,33847,19
51109,Louisa County,15355,2364,15
51111,Lunenburg County,4289,863,20
51113,Madison County,5520,1231,22
51115,Mathews County,3083,462,15
51117,Mecklenburg County,11497,4317,38
51119,Middlesex County,3886,948,24
51121,Montgomery County,40321,18013,45
51125,Nelson County,5427,1014,19
51127,New Kent County,9640,1008,10
51131,Northampton County,4313,1579,37
51133,Northumberland County,3525,767,22
51135,Nottoway County,5290,1425,27
51137,Orange County,15141,2587,17
51139,Page County,10216,2786,27
51141,Patrick County,7039,1368,19
51143,Pittsylvania County,24855,5836,23
51145,Powhatan County,12449,1657,13
51147,Prince Edward County,7103,2787,39
51149,Prince George County,16522,3882,23
51153,Prince William County,218915,26318,12
51155,Pulaski County,14131,3766,27
51157,Rappahannock County,2973,631,21
51159,Richmond County,2720,704,26
51161,Roanoke County,41227,9246,22
51163,Rockbridge County,8906,2761,31
51165,Rockingham County,38439,11353,30
51167,Russell County,8305,2020,24
51169,Scott County,7713,1109,14
51171,Shenandoah County,19069,4551,24
51173,Smyth County,11410,4136,36
51175,Southampton County,7381,1286,17
51177,Spotsylvania County,61265,9407,15
51179,Stafford County,67416,10574,16
51181,Surry County,3045,490,16
51183,Sussex County,4312,852,20
51185,Tazewell County,13833,4923,36
51187,Warren County,17293,3431,20
51191,Washington County,22103,6435,29
51193,Westmoreland County,6508,1196,18
51195,Wise County,11756,4834,41
51197,Wythe County,11969,3627,30
51199,York County,31568,7513,24
51510,Alexandria city,82013,10145,12
51520,Bristol city,7098,3102,44
51530,Buena Vista city,2857,1113,39
51540,Charlottesville city,21182,9908,47
51550,Chesapeake city,111766,22106,20
51570,Colonial Heights city,7945,2073,26
51580,Covington city,2253,1345,60
51590,Danville city,15528,7157,46
51595,Emporia city,2092,1076,51
51600,Fairfax city,10885,2004,18
51610,Falls Church city,6570,1122,17
51620,Franklin city,3258,1438,44
51630,Fredericksburg city,13820,5264,38
51640,Galax city,2869,1694,59
51650,Hampton city,63191,19110,30
51660,Harrisonburg city,22468,12060,54
51670,Hopewell city,9075,2330,26
51678,Lexington city,2178,1457,67
51680,Lynchburg city,33240,16307,49
51683,Manassas city,20866,4967,24
51685,Manassas Park city,9036,1203,13
51690,Martinsville city,4892,2389,49
51700,Newport News city,86069,24841,29
51710,Norfolk city,121329,37095,31
51720,Norton city,1318,932,71
51730,Petersburg city,13479,3962,29
51735,Poquoson city,5789,1012,17
51740,Portsmouth city,42730,11372,27
51750,Radford city,7307,3247,44
51760,Richmond city,104286,28541,27
51770,Roanoke city,43579,12419,28
51775,Salem city,11682,4126,35
51790,Staunton city,11291,4234,37
51800,Suffolk city,41712,7284,17
51810,Virginia Beach city,223458,51258,23
51820,Waynesboro city,10044,3136,31
51830,Williamsburg city,5760,2595,45
51840,Winchester city,13230,6112,46